,landing_page_id,origin,sdr_id,sr_id,business_segment,lead_type,lead_behaviour_profile,business_type,seller_city,seller_state,sdr_load,sr_load
101,56,unknown,14,15,bed_bath_table,industry,cat,manufacturer,ibitinga,SP,9.0,9.0
102,56,unknown,14,15,household_utilities,online_medium,cat,reseller,caxias do sul,RS,11.0,10.0
103,13,organic_search,14,15,health_beauty,online_beginner,cat,reseller,sao paulo,SP,12.0,10.0
104,3,paid_search,14,15,food_supplement,online_small,cat,reseller,rio de janeiro,RJ,22.0,20.0
105,19,paid_search,5,15,health_beauty,industry,cat,manufacturer,ribeirao preto,SP,7.0,4.0
106,31,social,1,15,health_beauty,online_medium,cat,reseller,sao paulo,SP,12.0,17.0
107,25,unknown,1,15,audio_video_electronics,online_medium,wolf,reseller,curitiba,PR,4.0,8.0
108,13,organic_search,1,15,construction_tools_house_garden,online_medium,wolf,reseller,sao paulo,SP,6.0,8.0
109,38,paid_search,1,15,handcrafted,offline,eagle,287,sao carlos,SP,5.0,9.0
110,42,unknown,1,15,household_utilities,online_big,wolf,reseller,carapicuiba,SP,6.0,7.0
111,13,organic_search,1,15,audio_video_electronics,online_medium,eagle,reseller,campo bom,RS,5.0,6.0
112,54,unknown,1,15,pet,online_top,cat,manufacturer,araraquara,SP,4.0,3.0
113,18,paid_search,13,15,car_accessories,online_medium,cat,manufacturer,indaiatuba,SP,6.0,4.0
114,26,organic_search,15,15,construction_tools_house_garden,online_medium,cat,reseller,guarulhos,SP,3.0,2.0
115,56,unknown,9,15,music_instruments,online_big,eagle,reseller,joao pessoa,PB,1.0,23.0
116,49,direct_traffic,7,8,bed_bath_table,online_beginner,cat,manufacturer,ibitinga,SP,23.0,13.0
117,57,paid_search,7,8,music_instruments,online_medium,wolf,reseller,florianopolis,SC,12.0,6.0
118,56,organic_search,7,8,household_utilities,online_medium,cat,manufacturer,arapongas,PR,49.0,23.0
119,46,social,7,8,audio_video_electronics,online_medium,wolf,reseller,santo andre,SP,42.0,22.0
120,13,direct_traffic,7,8,car_accessories,online_medium,wolf,reseller,pitangueiras,SP,10.0,6.0
121,69,organic_search,7,8,health_beauty,online_medium,wolf,reseller,rio claro,SP,12.0,3.0
122,30,organic_search,7,8,food_drink,online_medium,wolf,reseller,sao paulo,SP,55.0,27.0
123,58,direct_traffic,7,8,construction_tools_house_garden,online_medium,cat,reseller,brasilia,DF,15.0,7.0
124,13,organic_search,7,8,home_decor,online_medium,cat,reseller,sao paulo,SP,18.0,10.0
125,15,direct_traffic,7,8,household_utilities,online_medium,wolf,manufacturer,sorocaba,SP,19.0,7.0
126,13,paid_search,7,8,household_utilities,online_medium,cat,reseller,sao paulo,SP,11.0,4.0
127,62,paid_search,7,8,household_utilities,online_big,wolf,manufacturer,claudio,MG,21.0,7.0
128,13,113,7,8,audio_video_electronics,online_big,cat,reseller,sete lagoas,MG,11.0,6.0
129,56,unknown,7,8,construction_tools_house_garden,online_small,cat,reseller,curitiba,PR,12.0,6.0
130,26,organic_search,0,8,sports_leisure,online_medium,cat,reseller,sbc,SP,10.0,4.0
131,56,unknown,0,8,home_decor,online_medium,cat,manufacturer,sao jose do rio preto,SP,15.0,9.0
132,13,email,0,8,pet,online_medium,wolf,reseller,avare,SP,21.0,13.0
133,56,unknown,0,8,fashion_accessories,online_medium,cat,reseller,franca,SP,11.0,8.0
134,13,organic_search,12,8,home_decor,online_big,cat,reseller,brusque,SC,9.0,7.0
135,13,direct_traffic,8,8,gifts,offline,cat,reseller,americana,SP,30.0,21.0
136,69,paid_search,10,8,audio_video_electronics,online_medium,eagle,reseller,embu das artes,SP,9.0,4.0
137,50,organic_search,11,8,car_accessories,online_medium,cat,reseller,salto,SP,3.0,6.0
138,13,paid_search,11,8,construction_tools_house_garden,online_big,cat,reseller,londrina,SP,3.0,6.0
139,68,unknown,11,8,bed_bath_table,offline,eagle,reseller,lambari,MG,17.0,6.0
140,62,organic_search,11,8,car_accessories,online_big,eagle,manufacturer,londrina,PR,6.0,7.0
141,13,display,11,8,construction_tools_house_garden,online_medium,cat,reseller,paracambi,RJ,5.0,6.0
142,13,paid_search,14,8,household_utilities,online_small,cat,reseller,sao bernardo do campo,SP,10.0,8.0
143,13,unknown,14,8,computers,industry,cat,reseller,sao paulo,SP,11.0,11.0
144,56,unknown,14,8,household_utilities,online_big,cat,reseller,bento goncalves,RS,12.0,12.0
145,48,paid_search,5,8,bags_backpacks,offline,wolf,reseller,guarulhos,SP,13.0,11.0
146,66,paid_search,1,8,computers,online_beginner,cat,reseller,sao caetano do sul,SP,3.0,4.0
147,7,organic_search,13,8,home_appliances,online_big,cat,reseller,novo hamburgo,RS,14.0,15.0
148,6,paid_search,15,8,home_decor,online_medium,eagle,reseller,florianopolis,SC,6.0,7.0
149,67,organic_search,17,8,health_beauty,industry,cat,manufacturer,sao roque,SP,12.0,8.0
150,56,unknown,2,8,sports_leisure,online_medium,eagle,reseller,sao paulo,SP,3.0,5.0
151,11,organic_search,2,8,household_utilities,online_medium,cat,reseller,curitiba,PR,6.0,7.0
152,56,unknown,7,9,home_decor,online_big,shark,manufacturer,sao paulo,SP,20.0,13.0
153,56,organic_search,7,9,home_decor,online_big,wolf,manufacturer,uberlandia,MG,19.0,11.0
154,65,113,7,9,construction_tools_house_garden,online_medium,cat,manufacturer,atibaia,SP,16.0,5.0
155,17,social,0,9,audio_video_electronics,online_big,cat,reseller,umuarama,PR,11.0,6.0
156,18,organic_search,0,9,car_accessories,industry,eagle,reseller,juiz de fora,MG,5.0,8.0
157,13,paid_search,0,9,bed_bath_table,online_medium,cat,reseller,ibitinga,SP,17.0,7.0
158,4,paid_search,0,9,audio_video_electronics,online_medium,cat,reseller,nova friburgo,RJ,34.0,26.0
159,56,organic_search,12,9,gifts,online_medium,cat,reseller,mogi guacu,SP,24.0,25.0
160,56,unknown,12,9,home_office_furniture,industry,cat,manufacturer,ribeirao pires,SP,16.0,11.0
161,18,organic_search,12,9,home_decor,online_medium,eagle,reseller,itapecerica da serra,SP,7.0,11.0
162,60,email,12,9,household_utilities,online_medium,cat,reseller,vila velha,ES,9.0,10.0
163,24,unknown,8,9,car_accessories,online_big,cat,reseller,sao jose dos pinhais,PR,19.0,7.0
164,62,organic_search,10,9,household_utilities,online_big,cat,reseller,sao carlos,SP,17.0,11.0
165,13,organic_search,11,9,sports_leisure,online_medium,cat,reseller,sao paulo,SP,7.0,14.0
166,33,paid_search,11,9,construction_tools_house_garden,offline,shark,reseller,sao paulo,SP,8.0,8.0
167,13,organic_search,11,9,food_supplement,online_medium,cat,reseller,ribeirao preto,SP,15.0,6.0
168,50,organic_search,11,9,construction_tools_house_garden,online_big,cat,reseller,sao joao da boa vista,SP,8.0,7.0
169,26,paid_search,11,9,construction_tools_house_garden,online_big,cat,manufacturer,limeira,SP,28.0,13.0
170,55,paid_search,11,9,bed_bath_table,offline,cat,reseller,itirapina,SP,9.0,22.0
171,13,direct_traffic,5,9,pet,online_big,cat,manufacturer,rio de janeiro,RJ,7.0,10.0
172,19,paid_search,5,9,bags_backpacks,industry,wolf,manufacturer,ipira,BA,10.0,8.0
173,56,direct_traffic,5,9,audio_video_electronics,online_medium,cat,reseller,sao paulo,SP,7.0,11.0
174,31,social,5,9,audio_video_electronics,online_big,cat,reseller,sao paulo,SP,7.0,10.0
175,62,organic_search,5,9,household_utilities,online_medium,cat,reseller,sao paulo,SP,7.0,10.0
176,56,unknown,1,9,household_utilities,online_medium,cat,reseller,ribeirao preto / sao paulo,SP,2.0,10.0
177,13,organic_search,1,9,fashion_accessories,online_medium,cat,manufacturer,curitiba,PR,6.0,8.0
178,13,email,13,9,health_beauty,online_medium,cat,reseller,sao paulo,SP,6.0,8.0
179,23,paid_search,13,9,construction_tools_house_garden,online_big,wolf,reseller,angra dos reis,RJ,14.0,31.0
180,26,paid_search,13,9,health_beauty,industry,wolf,manufacturer,sao paulo,SP,14.0,31.0
181,13,organic_search,15,9,audio_video_electronics,online_small,cat,reseller,belo horizonte,MG,7.0,13.0
182,56,unknown,15,9,household_utilities,offline,cat,reseller,praia grande,SP,10.0,10.0
183,62,organic_search,15,9,stationery,online_medium,wolf,reseller,sao paulo - sp,SP,10.0,23.0
184,26,paid_search,7,17,household_utilities,industry,shark,reseller,curitiba,PR,24.0,6.0
185,13,organic_search,7,17,toys,online_medium,cat,reseller,carazinho,RS,15.0,3.0
186,56,unknown,7,17,computers,online_medium,wolf,reseller,sao paulo,SP,24.0,11.0
187,13,organic_search,7,17,home_decor,online_beginner,cat,manufacturer,guarulhos,SP,10.0,5.0
188,52,113,7,17,audio_video_electronics,online_big,cat,reseller,maringa,PR,12.0,5.0
189,31,social,0,17,pet,online_medium,cat,reseller,sorocaba,SP,10.0,11.0
190,32,direct_traffic,0,17,health_beauty,online_big,cat,manufacturer,fortaleza,CE,10.0,3.0
191,26,paid_search,0,17,home_decor,online_medium,cat,manufacturer,sabara,MG,11.0,5.0
192,31,social,0,17,stationery,online_medium,cat,manufacturer,porto alegre,RS,15.0,10.0
193,56,unknown,0,17,home_decor,online_top,cat,manufacturer,gaspar,SC,11.0,4.0
194,26,paid_search,12,17,sports_leisure,online_medium,cat,manufacturer,estancia velha,RS,11.0,6.0
195,56,unknown,8,17,audio_video_electronics,online_big,cat,reseller,campo bom,RS,2.0,3.0
196,13,organic_search,10,17,home_decor,online_medium,cat,manufacturer,rio de janeiro,RJ,6.0,2.0
197,31,social,10,17,home_decor,online_big,cat,manufacturer,ivoti,RS,20.0,12.0
198,56,unknown,10,17,small_appliances,online_big,cat,reseller,sao paulo,SP,20.0,14.0
199,13,organic_search,10,17,audio_video_electronics,online_medium,cat,reseller,guaratuba,PR,13.0,8.0
200,26,paid_search,10,17,health_beauty,industry,cat,manufacturer,santa maria,RS,10.0,6.0
201,13,paid_search,10,17,stationery,online_medium,cat,manufacturer,sao paulo,SP,16.0,10.0
202,56,unknown,10,17,car_accessories,online_medium,eagle,reseller,sao paulo,SP,27.0,25.0
203,26,paid_search,10,17,home_decor,online_medium,cat,manufacturer,toledo,PR,14.0,6.0
204,26,organic_search,11,17,bags_backpacks,online_medium,eagle,manufacturer,porto alegre,RS,21.0,6.0
205,13,organic_search,11,17,food_drink,online_medium,cat,reseller,praia grande,SP,18.0,4.0
206,13,referral,11,17,construction_tools_house_garden,offline,cat,reseller,jaguariuna,SP,8.0,1.0
207,18,unknown,5,17,car_accessories,online_big,cat,reseller,tres coracoes,MG,5.0,1.0
208,2,organic_search,1,17,audio_video_electronics,industry,wolf,reseller,sao paulo,SP,3.0,3.0
209,31,social,1,17,pet,online_medium,shark,reseller,sao paulo,SP,5.0,2.0
210,56,unknown,17,17,health_beauty,online_medium,cat,reseller,sao paulo,SP,10.0,5.0
211,56,organic_search,17,17,home_decor,online_big,cat,reseller,santo andre,SP,12.0,7.0
212,56,unknown,17,17,household_utilities,online_small,cat,reseller,sao paulo,SP,10.0,3.0
213,13,referral,4,17,car_accessories,online_big,cat,reseller,sao caetano do sul,SP,11.0,13.0
214,62,organic_search,7,4,health_beauty,online_big,cat,reseller,carapicuiba,SP,36.0,10.0
215,69,organic_search,7,4,air_conditioning,online_medium,wolf,reseller,ribeirao preto,SP,21.0,8.0
216,22,paid_search,7,4,small_appliances,online_medium,cat,reseller,sao paulo,SP,11.0,3.0
217,13,organic_search,7,4,household_utilities,online_big,shark,reseller,rio de janeiro,RJ,18.0,4.0
218,13,organic_search,0,4,home_decor,online_big,cat,reseller,sao paulo,SP,9.0,5.0
219,37,paid_search,0,4,home_decor,online_big,cat,reseller,ribeirao preto,SP,43.0,25.0
220,17,organic_search,0,4,audio_video_electronics,online_big,cat,manufacturer,varzea alegre,CE,16.0,10.0
221,62,direct_traffic,0,4,pet,172,cat,reseller,itu,SP,11.0,7.0
222,12,email,0,4,health_beauty,online_medium,cat,reseller,sao paulo,SP,27.0,19.0
223,13,organic_search,0,4,bags_backpacks,online_medium,cat,reseller,rio de janeiro,RJ,10.0,6.0
224,50,organic_search,0,4,sports_leisure,online_big,cat,reseller,sao paulo,SP,18.0,11.0
225,56,unknown,12,4,home_decor,online_medium,wolf,reseller,osasco,SP,8.0,6.0
227,26,paid_search,8,4,health_beauty,offline,cat,reseller,rio de janeiro,RJ,11.0,8.0
228,40,other,8,4,home_decor,online_medium,cat,reseller,campinas,SP,9.0,5.0
229,56,organic_search,8,4,car_accessories,industry,cat,reseller,formosa,GO,13.0,9.0
230,7,paid_search,10,4,health_beauty,online_small,cat,reseller,rio de janeiro,RJ,8.0,3.0
231,56,unknown,10,4,stationery,online_medium,cat,reseller,brasilia,DF,9.0,4.0
232,13,direct_traffic,11,4,home_decor,online_small,cat,reseller,itajai,SC,8.0,7.0
233,62,social,11,4,household_utilities,online_medium,wolf,reseller,joinville,SC,6.0,6.0
234,13,paid_search,11,4,pet,online_medium,cat,reseller,londrina,PR,13.0,9.0
235,0,paid_search,11,4,car_accessories,online_big,eagle,reseller,sao bernardo do campo,SP,13.0,8.0
236,26,paid_search,11,4,health_beauty,offline,eagle,reseller,rio de janeiro,RJ,7.0,4.0
237,16,direct_traffic,1,4,car_accessories,online_big,cat,reseller,joinville,SC,5.0,4.0
238,56,unknown,13,4,games_consoles,online_medium,"eagle, cat",reseller,guarulhos,SP,14.0,6.0
239,26,organic_search,17,4,health_beauty,online_medium,cat,manufacturer,belo horizonte,MG,4.0,4.0
240,50,organic_search,17,4,car_accessories,online_beginner,cat,reseller,lauro de freitas,BA,14.0,10.0
241,13,organic_search,2,4,books,online_big,cat,reseller,sao pedro da aldeia,RJ,3.0,2.0
242,46,social,16,4,baby,online_small,cat,reseller,sao jose do rio preto,SP,1.0,4.0
243,56,unknown,7,10,construction_tools_house_garden,online_medium,cat,reseller,sao paulo,SP,14.0,8.0
244,56,unknown,7,10,health_beauty,online_big,cat,reseller,sao paulo,SP,14.0,7.0
245,13,organic_search,0,10,home_decor,industry,cat,manufacturer,guarulhos,SP,13.0,5.0
246,20,paid_search,0,10,household_utilities,online_medium,cat,reseller,garulhos,SP,13.0,6.0
247,64,unknown,0,10,health_beauty,online_medium,cat,reseller,nova iguacu,RJ,13.0,6.0
248,13,organic_search,12,10,food_drink,online_medium,cat,manufacturer,salvador,BA,9.0,4.0
249,56,unknown,12,10,car_accessories,online_beginner,cat,reseller,ribeirao preto,SP,8.0,4.0
250,51,email,12,10,health_beauty,online_medium,cat,reseller,sao bernardo do campo,SP,12.0,6.0
251,56,unknown,8,10,watches,online_big,cat,reseller,ribeirao preto,SP,16.0,12.0
252,13,organic_search,8,10,home_decor,online_medium,cat,manufacturer,americana,SP,9.0,4.0
253,62,paid_search,8,10,toys,online_medium,cat,reseller,sao paulo,SP,24.0,17.0
254,26,paid_search,11,10,household_utilities,offline,eagle,reseller,sao paulo,SP,12.0,2.0
255,56,organic_search,14,10,car_accessories,industry,cat,reseller,belo horizont,MG,7.0,3.0
256,46,social,14,10,audio_video_electronics,online_big,cat,reseller,sao paulo,SP,12.0,13.0
257,56,unknown,14,10,construction_tools_house_garden,industry,eagle,reseller,sao paulo,SP,8.0,4.0
258,64,direct_traffic,1,10,health_beauty,online_beginner,cat,reseller,rio de janeiro,RJ,2.0,1.0
259,63,paid_search,15,10,home_decor,online_medium,wolf,reseller,sao paulo,SP,4.0,1.0
260,31,social,15,10,audio_video_electronics,online_small,eagle,reseller,toledo,PR,4.0,1.0
261,26,organic_search,17,10,car_accessories,industry,cat,reseller,santo andre,SP,12.0,8.0
262,62,direct_traffic,17,10,food_drink,offline,cat,reseller,joinville,SC,3.0,3.0
263,14,paid_search,17,10,bed_bath_table,industry,cat,manufacturer,sao jose dos pinhas,PR,11.0,7.0
264,62,referral,17,10,stationery,online_big,cat,reseller,sao paulo,SP,10.0,7.0
265,46,social,17,10,pet,online_medium,cat,reseller,sao carlos,SP,12.0,9.0
266,26,paid_search,7,2,audio_video_electronics,online_beginner,cat,reseller,sao paulo,SP,9.0,4.0
267,26,organic_search,7,2,home_appliances,online_medium,cat,reseller,sao paulo,SP,15.0,2.0
268,56,paid_search,7,2,home_decor,online_beginner,cat,reseller,sao paulo,SP,7.0,3.0
269,64,paid_search,7,2,audio_video_electronics,online_beginner,wolf,reseller,guaira,SP,61.0,19.0
270,56,unknown,7,2,audio_video_electronics,online_medium,cat,reseller,osasco,SP,16.0,4.0
271,43,organic_search,0,2,car_accessories,online_medium,cat,reseller,campinas,SP,11.0,4.0
272,62,direct_traffic,0,2,household_utilities,offline,cat,reseller,sao paulo,SP,10.0,2.0
273,46,organic_search,0,2,construction_tools_house_garden,online_medium,cat,reseller,apucarana,PR,16.0,5.0
274,13,organic_search,12,2,pet,online_small,cat,reseller,campinas,SP,20.0,9.0
275,26,organic_search,12,2,home_decor,online_big,cat,reseller,sao paulo,SP,20.0,9.0
276,13,direct_traffic,12,2,handcrafted,online_medium,cat,reseller,santa rosa,RS,12.0,5.0
277,14,paid_search,12,2,home_decor,online_big,cat,reseller,sao paulo,SP,10.0,3.0
278,62,organic_search,8,2,home_decor,online_medium,cat,manufacturer,piracicaba,SP,5.0,6.0
279,62,organic_search,11,2,sports_leisure,online_big,eagle,reseller,sao paulo,SP,10.0,3.0
280,62,organic_search,11,2,music_instruments,online_medium,cat,reseller,contagem,MG,20.0,7.0
281,13,direct_traffic,1,2,household_utilities,online_medium,cat,reseller,sao paulo,SP,11.0,9.0
282,53,paid_search,13,2,car_accessories,online_big,eagle,reseller,brusque,SC,14.0,20.0
283,26,paid_search,15,2,home_decor,online_medium,cat,reseller,ibitinga,SP,6.0,7.0
284,13,paid_search,15,2,food_supplement,online_top,eagle,manufacturer,sao paulo,SP,6.0,7.0
285,43,direct_traffic,4,2,audio_video_electronics,offline,wolf,reseller,sorocaba,SP,11.0,10.0
286,13,organic_search,2,2,sports_leisure,online_small,cat,reseller,curitiba,PR,4.0,4.0
287,13,paid_search,7,16,home_decor,online_medium,wolf,manufacturer,belo horizonte,MG,17.0,6.0
288,56,unknown,7,16,bags_backpacks,online_medium,cat,reseller,rio claro,SP,9.0,3.0
289,7,paid_search,7,16,household_utilities,online_medium,cat,manufacturer,caxias do sul,RS,23.0,9.0
